GID_0,mean
ABW,
AFG,0.22592170182744856
AGO,6.770200698429805
AIA,
ALA,
ALB,1.106645704029484
AND,6.85042577230206
ARE,0.0
ARG,4.070246307727564
ARM,0.9048088046104446
ASM,
ATA,
ATF,
ATG,
AUS,2.0161907522150195
AUT,3.8521671289022796
AZE,1.277237677237012
BDI,8.025058089222666
BEL,2.2962475126314192
BEN,3.2736182168253727
BES,
BFA,3.481467322645538
BGD,
BGR,4.085970675321481
BHR,
BHS,
BIH,3.314528766794475
BLM,
BLR,1.6683979702128475
BLZ,
BMU,
BOL,8.176757159711508
BRA,5.454106765992223
BRB,
BRN,
BTN,3.8322237945547695
BVT,
BWA,1.4181823286067836
CAF,6.796306544459572
CAN,1.1869593563270702
CCK,
CHE,3.1588616913665897
CHL,4.966140850002369
CHN,1.7385035126317876
CIV,10.032851898328893
CMR,4.1757213397473985
COD,10.09918220626642
COG,6.506146529126015
COK,
COL,11.694863548366008
COM,
CPV,
CRI,11.9751508413007
CUB,10.833989864626341
CUW,
CXR,
CYM,
CYP,
CZE,
DEU,2.5538956742186216
DJI,0.4107937361059076
DMA,
DNK,
DOM,9.325267810242035
DZA,0.05966668706993795
ECU,12.600297796413814
EGY,0.007516581980399517
ERI,0.4917608141312291
ESH,2.419703374067479E-5
ESP,7.44220330109136
EST,
ETH,2.1493015701090408
FIN,
FJI,
FLK,
FRA,5.032890828211314
FRO,
FSM,
GAB,4.1471774599369375
GBR,7.951799821154509
GEO,3.7219419996162086
GGY,
GHA,7.0224176322186835
GIB,
GIN,10.48918620944581
GLP,
GMB,1.2192768831878915
GNB,11.054801436402634
GNQ,
GRC,4.081474387259506
GRD,
GRL,
GTM,14.01561946775555
GUF,
GUM,
GUY,5.999994510371058
HKG,
HMD,
HND,12.624059023602753
HRV,2.6638528027992296
HTI,2.0268672374123646
HUN,0.4380045821514292
IDN,9.533480278545406
IMN,
IND,4.335958107627488
IOT,
IRL,4.235892810408143
IRN,0.09923142209287225
IRQ,0.005773366340409148
ISL,
ISR,0.0
ITA,3.4338167019316232
JAM,
JEY,
JOR,0.0037402230666060627
JPN,
KAZ,0.6634348968504236
KEN,1.9117699691520322
KGZ,1.7470350551035159
KHM,14.027207194922397
KIR,
KNA,
KOR,
KWT,0.0
LAO,10.442219768037678
LBN,
LBR,
LBY,0.04407268602028146
LCA,
LIE,
LKA,7.323379831444347
LSO,4.2784470673064545
LTU,
LUX,
LVA,
MAC,
MAF,
MAR,0.09090673924635599
MCO,
MDA,
MDG,3.5266698581504445
MDV,
MEX,2.2675912322644627
MHL,
MKD,2.619049980017609
MLI,0.7873273790139367
MLT,
MMR,
MNE,7.201344772888878
MNG,0.856588862892897
MNP,
MOZ,9.17802274188193
MRT,0.2181683551392722
MSR,
MTQ,
MUS,
MWI,10.554725696635987
MYS,13.89510565879762
MYT,
NAM,0.4925527113744764
NCL,
NER,0.07007646475763721
NFK,
NGA,3.505222997219519
NIC,12.350479122565856
NIU,
NLD,4.391658258644526
NOR,4.368167683291472
NPL,8.23535321197152
NRU,
NZL,7.4755923830091895
OMN,0.013741167784803408
PAK,0.3489520100133608
PAN,15.974955050918247
PCN,
PER,2.497843134832359
PHL,
PLW,
PNG,
POL,1.913681802189975
PRI,
PRK,
PRT,3.0837131497601593
PRY,10.066844118605355
PSE,
PYF,
QAT,0.0
REU,
ROU,4.595326024052315
RUS,2.580864096379772
RWA,6.60757118964556
SAU,5.5009775907617034E-6
SDN,1.080839382301254
SEN,2.3392609047196666
SGP,
SGS,
SHN,
SJM,
SLB,
SLE,12.924868698058503
SLV,12.913526874983784
SMR,
SOM,1.087181168161483
SPM,
SRB,5.2441724101234195
SSD,8.99146189457911
STP,
SUR,
SVK,4.653813966250515
SVN,4.23150980045912
SWE,8.48103884280298
SWZ,5.084566759746259
SXM,
SYC,
SYR,0.01159534537232728
TCA,
TCD,2.1197160957052628
TGO,7.107313517744685
THA,
TJK,0.36541441912341566
TKL,
TKM,8.587661706622147E-4
TLS,11.335331156433542
TON,
TTO,
TUN,0.033607759002091835
TUR,0.9547072415618184
TUV,
TWN,10.13205658614707
TZA,6.360586281486543
UGA,10.150189176859769
UKR,2.3174254561802696
UMI,
URY,5.629226960676107
USA,1.1221980124532716
UZB,0.08177047942250773
VAT,
VCT,
VEN,9.47275439408933
VGB,
VIR,
VNM,8.78394035564959
VUT,
WLF,
WSM,
XAD,
XCA,2.5743216031208984
XCL,
XKO,8.039338903274725
XNC,
XPI,
XSP,
YEM,0.23953271533687343
ZAF,1.9990511823129167
ZMB,11.593675114237916
ZWE,6.866289419763745
