BIOME_NUM,BIOME_NAME,Crop_FluxDensity_mean_MgC/ha,stdDev
1,Tropical & Subtropical Moist Broadleaf Forests,0.418582984,0.293446646
2,Tropical & Subtropical Dry Broadleaf Forests,0.95731109,0.193801424
3,Tropical & Subtropical Coniferous Forests,0.252003443,0.135006958
4,Temperate Broadleaf & Mixed Forests,0.553889242,0.133381972
5,Temperate Conifer Forests,0.212013055,0.069166113
7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.538840433,0.18137937
8,"Temperate Grasslands, Savannas & Shrublands",0.345152881,0.044513764
10,Montane Grasslands & Shrublands,0.475518191,0.055446825
12,"Mediterranean Forests, Woodlands & Scrub",0.081885463,0.06227111
13,Deserts & Xeric Shrublands,0.02871723,0.011385985
