BIOME_NAME,BIOME_NUM,mean
Tropical & Subtropical Moist Broadleaf Forests,1,13.57994378
Tropical & Subtropical Dry Broadleaf Forests,2,11.62846301
Tropical & Subtropical Coniferous Forests ,3,12.19935858
Temperate Broadleaf & Mixed Forests,4,10.47077193
Temperate Conifer Forests,5,6.46103285
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7,8.839769815
"Temperate Grasslands, Savannas & Shrublands",8,3.371749382
Montane Grasslands & Shrublands,10,4.027578159
"Mediterranean Forests, Woodlands & Scrub",12,5.689417816
Deserts & Xeric Shrublands,13,2.31464172
