ADM0_CODE,ADM0_NAME,mean
2647,Montenegro,13.425661945812807
2648,Serbia,16.321904386636433
74,South Sudan,10.49325831633379
6,Sudan,3.3435537008133
147296,Taiwan,14.649432425406545
56,Cocos (Keeling) Islands,
54,Christmas Island,
16,Ashmore and Cartier Islands,
82,Faroe Islands,
88,French Southern and Antarctic Territories,
161,Mayotte,
206,R�union,
247,Tromelin Island,
131,Juan de Nova Island,
96,Glorioso Island,
80,Europa Island,
25,Bassas da India,
210,Saint Pierre et Miquelon,
37,Brazil,10.788965978172357
250,Turkmenistan,1.3407788239425982
261,Uzbekistan,2.1158431092987606
239,Tajikistan,2.2505533302242346
138,Kyrgyzstan,3.2580843288246406
132,Kazakhstan,1.5722874477848539
167,Mongolia,2.1309507753477743
202,Republic of Korea,
67,Dem People's Rep of Korea,
147295,China,4.113583481014556
171,Myanmar,
44,Cambodia,15.786045989900673
264,Viet Nam,9.300016349664832
139,Lao People's Democratic Republic,14.702816303903683
153,Malaysia,16.857142857142858
240,Thailand,
40,Brunei Darussalam,
196,Philippines,
116,Indonesia,12.075767777001055
222,Singapore,
242,Timor-Leste,16.470916924144834
154,Maldives,
175,Nepal,13.475767769106511
188,Pakistan,3.6650755320768345
115,India,8.104056750652093
117,Iran  (Islamic Republic of),1.8330420867096748
231,Sri Lanka,3.008670520231214
31,Bhutan,6.693817226166064
23,Bangladesh,
1,Afghanistan,1.8992326014460468
187,Oman,2.249713193116635
137,Kuwait,
141,Lebanon,
201,Qatar,
215,Saudi Arabia,
249,Turkey,2.755578174139635
269,Yemen,2.6695656286503326
118,Iraq,1.8969613072044587
130,Jordan,1.6568485068530452
238,Syrian Arab Republic,2.690906046232905
121,Israel,
92,Georgia,7.5837048159644915
64,Cyprus,
21,Bahrain,
19,Azerbaijan,3.6558068800724874
13,Armenia,3.471928735667373
255,United Arab Emirates,
165,"Moldova, Republic of",
113,Hungary,6.782980811164413
198,Poland,15.408157671515566
203,Romania,13.876261165368726
254,Ukraine,8.80184447840091
26,Belarus,12.268204280383113
65,Czech Republic,
223,Slovakia,9.551708422922315
41,Bulgaria,12.544575621549486
186,Norway,16.770056604704607
236,Sweden,16.740857680734056
147,Lithuania,
140,Latvia,
119,Ireland,15.859781983726668
114,Iceland,
256,U.K. of Great Britain and Northern Ireland,16.60569236020698
84,Finland,
78,Estonia,
69,Denmark,
241,The former Yugoslav Republic of Macedonia,8.518298471267999
62,Croatia,8.737612380933923
156,Malta,
213,San Marino,
224,Slovenia,9.664591487656795
97,Greece,7.223568448764388
122,Italy,9.151708754198301
199,Portugal,11.915915623029157
229,Spain,10.008640028143807
34,Bosnia and Herzegovina,9.632781140283642
7,Andorra,8.271245584498734
3,Albania,6.497068130020136
166,Monaco,
177,Netherlands,16.11855278159872
148,Luxembourg,
146,Liechtenstein,
85,France,10.621577931126371
93,Germany,14.182149489135533
237,Switzerland,7.236613552623578
27,Belgium,13.925593832435945
18,Austria,9.42835937969308
17,Australia,2.504298019597919
189,Palau,
46,Canada,
46,Canada,
46,Canada,
170,Mozambique,11.48369031909082
160,Mauritius,
152,Malawi,13.787296343868439
205,Rwanda,8.134956105229483
226,Somalia,2.9178365547930896
270,Zambia,14.268461744564785
133,Kenya,2.873180814536882
150,Madagascar,4.781711789643701
220,Seychelles,
257,United Republic of Tanzania,8.898787914008249
253,Uganda,11.656374696503205
271,Zimbabwe,6.504653344844513
79,Ethiopia,3.3322181919369522
77,Eritrea,1.9649066571115366
70,Djibouti,1.1941108054223892
58,Comoros,
43,Burundi,11.047805745814937
89,Gabon,3.840638942798982
76,Equatorial Guinea,
50,Chad,3.3828646294183384
214,Sao Tome and Principe,
59,Congo,6.219056728712996
68,Democratic Republic of the Congo,11.946600010114482
45,Cameroon,5.433011286225761
49,Central African Republic,8.193894780208458
8,Angola,8.271793024818706
169,Morocco,2.587751831501103
145,Libya,2.2026405706393484
248,Tunisia,2.863767190248686
40765,Egypt,1.2372413793103447
4,Algeria,3.523070879500279
172,Namibia,2.0189071919618575
235,Swaziland,7.935883342369706
142,Lesotho,5.629888687720385
227,South Africa,4.008438147352625
35,Botswana,2.4431478583315527
243,Togo,6.925936030360411
221,Sierra Leone,14.379372161625703
217,Senegal,5.817423682288587
182,Nigeria,3.136762310869437
181,Niger,1.072589657447702
159,Mauritania,0.9976885800440575
155,Mali,2.300002547382021
144,Liberia,
105,Guinea-Bissau,16.870930942088297
90,Gambia,5.36958894234977
106,Guinea,13.590455279365473
94,Ghana,6.275342592669494
47,Cape Verde,
66,C�te d'Ivoire,9.20359849029373
42,Burkina Faso,3.4050485062068243
29,Benin,2.7956056918215286
234,Svalbard and Jan Mayen Islands,
151,Madeira Islands,
74578,Azores Islands,
104,Guernsey,
128,Jersey,
38,British Indian Ocean Territory,
120,Isle of Man,
110,Holy See,
98,Greenland,
268,Western Sahara,
91,Gaza Strip,
267,West Bank,
267,West Bank,
95,Gibraltar,
207,Saint Helena,
149,Macau,
33364,Hong Kong,
102,Abyei,6.203061981631257
193,Paracel Islands,
218,Senkaku Islands,
216,Scarborough Reef,
52,China/India,
2,Aksai Chin,1.949883387633748
230,Spratly Islands,
40781,Jammu and Kashmir,3.9744092446473345
15,Arunachal Pradesh,
61013,Ilemi triangle,4.935312497367578
40760,Hala'ib triangle,
40762,Ma'tan al-Sarra,
184,Norfolk Island,
266,Wallis and Futuna,
87,French Polynesia,
126,Japan,
204,Russian Federation,4.00052261237146
179,New Zealand,9.147333906863281
17,Australia,12.024939177255789
17,Australia,4.737000139218465
192,Papua New Guinea,
262,Vanuatu,
225,Solomon Islands,
83,Fiji,
157,Marshall Islands,
173,Nauru,
163,Micronesia (Federated States of),
135,Kiribati,
212,Samoa,
245,Tonga,
252,Tuvalu,
46,Canada,8.347508225280176
46,Canada,9.38953207984304
46,Canada,13.677876187840209
46,Canada,2.6416669532992705
46,Canada,9.966480047885925
46,Canada,
46,Canada,
259,United States of America,2.381762332814959
259,United States of America,4.3700735873317065
259,United States of America,
60,Cook Islands,
183,Niue,
185,Northern Mariana Islands,
265,Wake Island,
127,Jarvis Island,
178,New Caledonia,
244,Tokelau,
101,Guam,
5,American Samoa,
136,Kuril islands,
158,Martinique,
100,Guadeloupe,
55,Clipperton Island,
195,Peru,3.467005065353583
51,Chile,6.722539782178927
33,Bolivia,10.096413236175097
71,Dominica,
72,Dominican Republic,13.453750129342323
11,Antigua and Barbuda,
63,Cuba,16.811200521234753
99,Grenada,
123,Jamaica,
208,Saint Kitts and Nevis,
246,Trinidad and Tobago,
20,Bahamas,
209,Saint Lucia,
211,Saint Vincent and the Grenadines,
24,Barbados,
108,Haiti,
191,Panama,17.545311157698947
75,El Salvador,16.618260875065797
180,Nicaragua,15.810823514838013
162,Mexico,5.682189231745841
111,Honduras,17.1040736160586
103,Guatemala,16.40995752508787
61,Costa Rica,16.322307130566163
28,Belize,
259,United States of America,7.005736966567768
259,United States of America,14.765675921405037
57,Colombia,15.036856146669855
107,Guyana,6.016532077627083
73,Ecuador,12.285129173803307
86,French Guiana,
194,Paraguay,16.03903435658228
233,Suriname,
260,Uruguay,8.982792933332803
263,Venezuela,12.895242137272307
176,Netherlands Antilles,
174,Navassa Island,
200,Puerto Rico,
190,Palmyra Atoll,
164,Midway Island,
134,Kingman Reef,
129,Johnston Atoll,
112,Howland Island,
22,Baker Island,
32,Bird Island,
14,Aruba,
197,Pitcairn,
48,Cayman Islands,
168,Montserrat,
251,Turks and Caicos islands,
39,British Virgin Islands,
9,Anguilla,
30,Bermuda,
258,United States Virgin Islands,
81,Falkland Islands (Malvinas),
228,South Georgia and the South Sandwich Islands,
12,Argentina,4.679505533426115
109,Heard Island and McDonald Islands,
36,Bouvet Island,
10,Antarctica,
