BIOME_NAME,BIOME_NUM,sum
Tropical & Subtropical Moist Broadleaf Forests,1,1.47E+08
Tropical & Subtropical Dry Broadleaf Forests,2,4.16E+07
Tropical & Subtropical Coniferous Forests,3,9392467.468
Temperate Broadleaf & Mixed Forests,4,9.55E+07
Temperate Conifer Forests ,5,4.89E+07
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7,7.20E+08
"Temperate Grasslands, Savannas & Shrublands",8,3.90E+08
Montane Grasslands & Shrublands,10,1.60E+08
"Mediterranean Forests, Woodlands & Scrub",12,6.82E+07
Deserts & Xeric Shrublands,13,6.81E+08
,,2360768039.57
