ID,ANOVA,Name (First Last):,CONTINENT,BIOME,"UngulateCode (L=Large, S=small includes goat + sheep)",Verified ***Optimal Total % Tree Cover/ha for Grazing System - Calculated***V6,Verified ***Optimal Total % Tree Cover Across All Grazing Systems (% tree cover) V7,
2e,1,Jagdish Dagar,Asia (includes Middle East),Deserts & Xeric Shrublands,S,0.05,0.06,
9c2avg,1,Konstantinos Mantzanas,Europe,"Mediterranean Forests, Woodland, & Scrub",S,0.23,0.20,
5,1,Kinga Öllerer,Europe,Temperate Broadleaf & Mixed Forests,S,0.20,0.20,
19c,1,Cristóbal Villanueva,North/Central America (includes Caribbean),Tropical & Subtropical Dry Broadleaf Forests,S,0.40,0.15,
6d,1,Jean Hanson,Africa,"Tropical & Subtropical Grasslands, Savannas, and Shrublands",S,0.75,0.65,
12,1,Issoufou WATA,Africa,Deserts & Xeric Shrublands,L,0.06,0.06,
x2a,1,CI - Starry (Bastin),Asia (includes Middle East),Deserts & Xeric Shrublands,L,0.02,0.02,
x3a,2,CI - Starry (Bastin),North/Central America (includes Caribbean),Deserts & Xeric Shrublands,L,0.03,0.03,
2a,1,Jagdish Dagar,Asia (includes Middle East),Deserts & Xeric Shrublands,L,0.05,0.06,
9aavg,1,Konstantinos Mantzanas,Europe,"Mediterranean Forests, Woodland, & Scrub",L,0.17,0.15,
x418avg,1,CI - Starry,Europe,"Mediterranean Forests, Woodland, & Scrub",L,0.24,0.24,
r,2,CI - Starry,North/Central America (includes Caribbean),"Mediterranean Forests, Woodland, & Scrub",L,0.30,0.29,
x6b,1,CI - based on CGLS information from Heidi,Africa,"Mediterranean Forests, Woodland, & Scrub",L,0.33,0.33,
1,1,Mulubrhan Gebremikael,Africa,Montane Grasslands & Shrublands,L,0.24,0.25,
x7x17avg,1,CI,Africa,Montane Grasslands & Shrublands,L,0.15,0.15,
5,1,Kinga Öllerer,Europe,Temperate Broadleaf & Mixed Forests,L,0.20,0.20,
15,1,John Fike,North/Central America (includes Caribbean),Temperate Broadleaf & Mixed Forests,L,0.45,0.43,
3,1,Francis,South America,Temperate Broadleaf & Mixed Forests,L,0.57,0.46,
x8a,2,CI,Europe,Temperate Broadleaf & Mixed Forests,L,0.30,0.30,
x9a,1,CI,North/Central America (includes Caribbean),Temperate Broadleaf & Mixed Forests,L,0.35,0.35,
19a,1,Cristóbal Villanueva,North/Central America (includes Caribbean),Tropical & Subtropical Dry Broadleaf Forests,L,0.20,0.20,
x10a,1,CI - Starry,North/Central America (includes Caribbean),Tropical & Subtropical Dry Broadleaf Forests,L,0.35,0.35,
x15a,2,CI - Starry,South America,Tropical & Subtropical Dry Broadleaf Forests,L,0.35,0.35,
x16a,2,CI - Starry,Asia (includes Middle East),Tropical & Subtropical Dry Broadleaf Forests,L,0.35,0.35,
18,1,Aklilu Negussie Mekuria ,Africa,"Tropical & Subtropical Grasslands, Savannas, and Shrublands",L,0.40,0.30,
6abcavg,1,Jean Hanson4,Africa,"Tropical & Subtropical Grasslands, Savannas, and Shrublands",L,0.50,0.32,
20,1,Kangbéni Dimobe,Africa,"Tropical & Subtropical Grasslands, Savannas, and Shrublands",L,0.20,0.20,
7,1,Shem,Africa,"Tropical & Subtropical Grasslands, Savannas, and Shrublands",L,0.30,0.20,
x11a,1,CI- Starry,Asia (includes Middle East),"Tropical & Subtropical Grasslands, Savannas, and Shrublands",L,0.20,0.25,
11a,1,Donald Broom,South America,"Tropical & Subtropical Grasslands, Savannas, and Shrublands",L,0.25,0.15,
13bcavg,1,Mauricio Sotelo,South America,"Tropical & Subtropical Grasslands, Savannas, and Shrublands",L,0.13,0.24,
14,1,Adrian rufino chindicue moreno ,South America,Tropical & Subtropical Moist Broadleaf Forests,L,0.25,0.25,
8,1,"Pezzopane, José Ricardo Macedo",South America,Tropical & Subtropical Moist Broadleaf Forests,L,0.25,0.20,
16,1,Raúl González,South America,Tropical & Subtropical Moist Broadleaf Forests,L,0.35,0.35,
x12a,2,CI-Starry,Africa,Tropical & Subtropical Moist Broadleaf Forests,L,0.50,0.50,
x13a,1,CI- Starry,Asia (includes Middle East),Tropical & Subtropical Moist Broadleaf Forests,L,0.45,0.45,
3,1,Francis,South America,Temperate Broadleaf & Mixed Forests,S,0.20,0.46,
18,1,Aklilu Negussie Mekuria ,Africa,"Tropical & Subtropical Grasslands, Savannas, and Shrublands",S,0.40,0.30,
x14a,1,CI- Starry,Asia (includes Middle East),"Tropical & Subtropical Grasslands, Savannas, and Shrublands",S,0.20,0.25,
11,1,Donald Broom,South America,"Tropical & Subtropical Grasslands, Savannas, and Shrublands",S,0.25,0.15,
13cdavg,1,Mauricio Sotelo,South America,"Tropical & Subtropical Grasslands, Savannas, and Shrublands",S,0.15,0.22,
