"","C_G","climate","mn","wt.mn","quant25","wt.quant25","n"
"1","Crop","Desert",4,4,4,4,1
"2","Crop","Mediterranean",9.75,9.75,6.25,7,4
"3","Crop","Montane",27.66667,27.66667,27.66667,27.66667,1
"4","Crop","Temperate",34.0625,34.0508117867375,16.75,16,16
"5","Crop","Tropical/Subtropical",25.5909090909091,24.7275255909375,20,20,22
"6","Grazing","Desert",5,5,5,5.12343597412109,4
"7","Grazing","Mediterranean",23,23,18.75,20,4
"8","Grazing","Montane",20,20,17.5,15,2
"9","Grazing","Temperate",33.9523814285714,31.0401817059554,23.833335,27.66667,7
"10","Grazing","Tropical/Subtropical",27.2631578947368,27.0284142411232,20,20,21
